id,produto,clientes,funcionarios,vendas,estoque
1,Banana - Leaves,Marys,Farlee,$9.72,49
2,Bread - Italian Corn Meal Poly,Arvin,Deeanne,$5.50,99
3,Pumpkin,Elisa,Ulric,$1.70,97
4,Uniform Linen Charge,Rodolph,Chico,$3.83,12
5,Creme De Cacao White,Hurlee,Rose,$1.10,4
6,"Salt - Rock, Course",Hynda,Thor,$0.13,73
7,Clams - Canned,Perceval,Licha,$5.08,34
8,Ecolab - Solid Fusion,Whitby,Fulvia,$1.80,82
9,Spice - Pepper Portions,Hazlett,Ingrid,$8.57,75
10,Tea - Herbal Sweet Dreams,Rahel,Rem,$4.59,1
11,Cookies - Englishbay Wht,Paule,Olivette,$6.20,87
12,Rabbit - Legs,Tamara,Odie,$2.17,72
13,"Bread - Multigrain, Loaf",Nikita,Phyllida,$7.57,10
14,Cabbage Roll,Guido,Loralee,$2.04,70
15,Wine - Chablis J Moreau Et Fils,Pebrook,Monah,$2.65,23
16,Curry Powder,Lilian,Whitaker,$9.78,11
17,Lid Tray - 12in Dome,Emmeline,Lindie,$0.04,17
18,Carbonated Water - Lemon Lime,Flss,Clair,$0.51,3
19,Wine - George Duboeuf Rose,Jervis,Milton,$5.30,17
20,Cabbage - Red,Yard,Maxim,$6.57,50
21,Pepper - Pablano,Trenton,Marius,$9.15,12
22,Sun - Dried Tomatoes,Zack,Kissiah,$4.96,59
23,"Nut - Pecan, Halves",Nichols,Melissa,$6.23,94
24,Cheese Cloth No 60,Brandon,Florencia,$0.30,40
25,"Crab - Dungeness, Whole, live",Stavro,Eustace,$2.39,84
26,Cheese - Taleggio D.o.p.,Rodolph,Arabel,$3.93,88
27,Barley - Pearl,Hewe,Trev,$3.75,64
28,Coffee - Cafe Moreno,Bax,Douglas,$1.84,14
29,Towel Multifold,Christalle,Wallace,$0.78,11
30,"Wine - Bourgogne 2002, La",Godwin,Ruby,$9.61,71
31,Chips Potato All Dressed - 43g,Janina,Benedict,$0.14,70
32,Cabbage Roll,Tresa,Tim,$7.39,16
33,"Beef - Rouladin, Sliced",Anallise,Buiron,$2.52,74
34,Vodka - Smirnoff,Waylon,Ashby,$8.10,97
35,Sansho Powder,Michal,Silvan,$9.85,9
36,Coffee - Ristretto Coffee Capsule,Towny,Zandra,$8.57,21
37,Cookie Dough - Oatmeal Rasin,Norbert,Raquela,$5.86,79
38,Beef Flat Iron Steak,Howie,Cristabel,$3.72,86
39,Mushroom Morel Fresh,Agneta,Lauryn,$6.00,38
40,Cakes Assorted,Budd,Maurise,$2.64,11
41,Beans - Kidney White,Frasquito,Vernon,$1.62,42
42,Sugar - Palm,Matty,Hazel,$8.90,100
43,Mix - Cocktail Strawberry Daiquiri,Patrizius,Wynny,$5.34,61
44,Numi - Assorted Teas,Honoria,Lazare,$6.21,68
45,Spice - Greek 1 Step,Harli,Robinetta,$9.84,1
46,"Pepper - White, Ground",Shara,Anett,$3.85,53
47,"Pork - Back, Long Cut, Boneless",Jennifer,Irv,$1.38,28
48,Wine - Ej Gallo Sonoma,Lothario,Dominik,$0.07,14
49,"Asparagus - White, Canned",Kacie,Deanna,$3.95,96
50,Chocolate Bar - Smarties,Saundra,Lethia,$9.91,80
51,Tea - Herbal - 6 Asst,Prudi,Lidia,$0.77,21
52,Wine - Trimbach Pinot Blanc,Cyndi,Currey,$1.07,18
53,"Lemonade - Black Cherry, 591 Ml",Eddie,Jody,$4.17,69
54,Beef - Bresaola,Tawsha,Ermin,$2.29,30
55,Cookie Dough - Oatmeal Rasin,Noellyn,Ruy,$3.33,2
56,Nantuket Peach Orange,Zelma,Luke,$5.35,72
57,Sobe - Liz Blizz,Ruprecht,Gabi,$5.08,78
58,"Wine - Red, Mosaic Zweigelt",Gisella,Boycey,$2.14,68
59,Scallops - In Shell,Maud,Stevie,$9.09,65
60,Tomatoes - Hot House,Anabella,Corney,$3.08,72
61,"Beans - Kidney, Canned",Adorne,Gordon,$2.49,22
62,Container - Foam Dixie 12 Oz,Berti,Lucia,$8.35,13
63,Muffin Mix - Oatmeal,Brana,Gianna,$3.60,97
64,"Beef - Ground, Extra Lean, Fresh",Claudetta,Batsheva,$6.04,72
65,Sandwich Wrap,Anderson,Alejandrina,$6.39,76
66,"Wine - Mas Chicet Rose, Vintage",Dur,Paulita,$4.34,44
67,Wine - Rioja Campo Viejo,Livvyy,Dallas,$5.55,15
68,Juice - Orangina,Coral,Lyndy,$8.50,70
69,Anchovy Fillets,Stuart,Rawley,$0.95,57
70,Butter Sweet,Tressa,Patricio,$9.12,9
71,Pear - Prickly,Vidovic,Lyon,$9.50,97
72,Vol Au Vents,Jdavie,Sandye,$8.96,94
73,Table Cloth - 53x69 Colour,Joellen,Anestassia,$5.74,37
74,Mushroom - Lg - Cello,Lou,Maynard,$2.90,98
75,Grapes - Green,Nil,Yvon,$1.54,8
76,"Doilies - 12, Paper",Hammad,Estelle,$4.75,24
77,"Turkey - Whole, Fresh",Perl,Linus,$3.38,34
78,"Cheese - Cheddar, Medium",Keefer,Elisabet,$5.94,90
79,"Chilli Paste, Ginger Garlic",Ravi,Rourke,$1.86,74
80,Edible Flower - Mixed,Pam,Ceil,$3.55,7
81,Blackberries,Ingra,Arty,$0.70,73
82,Mortadella,Donnamarie,Bernadina,$3.00,71
83,Plasticforkblack,Sheelagh,Corie,$1.99,8
84,"Soup - Clam Chowder, Dry Mix",Wilek,Marietta,$5.70,2
85,French Pastries,Hamel,Currey,$7.54,97
86,Tomatoes - Roma,Putnam,Gavin,$1.19,37
87,Cup - Translucent 7 Oz Clear,Katee,Sibilla,$3.69,39
88,Flavouring - Raspberry,Kaja,Edythe,$0.69,14
89,"Beef - Rouladin, Sliced",Glenn,Liva,$2.94,46
90,Dried Peach,Hortensia,Joye,$9.01,35
91,Ketchup - Tomato,Chauncey,Curcio,$8.75,34
92,"Pesto - Primerba, Paste",Anni,Kareem,$9.17,75
93,Wine - Chateau Bonnet,Malanie,Alair,$1.26,60
94,Cheese - Wine,Denny,Adah,$3.53,64
95,Sunflower Seed Raw,Alard,Sheryl,$3.84,91
96,"Stock - Beef, Brown",Terrie,Lucias,$0.11,63
97,Pastry - Apple Muffins - Mini,Cathy,Willey,$2.30,49
98,"Mushrooms - Black, Dried",Obadiah,Cinda,$4.59,65
99,Beer - Original Organic Lager,Claretta,Brinna,$8.83,78
100,Wine - Chardonnay South,Gigi,Giffard,$5.77,50
101,Broom - Push,Kendra,Yoshiko,$7.89,67
102,Bread - Calabrese Baguette,Eulalie,Sheela,$2.96,56
103,Bag - Regular Kraft 20 Lb,Trueman,Baily,$9.10,77
104,Sauce - Oyster,Madlin,Alwyn,$5.46,74
105,Tomato Paste,Nero,Weider,$4.83,83
106,Longos - Lasagna Veg,Johnnie,Francesco,$7.45,46
107,Beef - Short Loin,Edy,Roosevelt,$2.20,51
108,Muffin Batt - Blueberry Passion,Newton,Suzie,$6.29,22
109,Olive - Spread Tapenade,Hartley,Blinnie,$6.28,44
110,Oyster - In Shell,Melina,Sara,$2.18,84
111,Baking Powder,Sabina,Cicily,$4.54,49
112,Emulsifier,Louella,Roosevelt,$8.64,1
113,Sauce Tomato Pouch,Fowler,Ari,$1.99,81
114,Beef - Inside Round,Ellynn,Fiann,$5.95,23
115,"Crab - Claws, 26 - 30",Jorie,Winnie,$1.81,14
116,"Juice - Pineapple, 48 Oz",Kate,Marja,$1.36,89
117,Cheese - Swiss,Rennie,Nealon,$6.31,12
118,Sauce - Chili,Catie,Sharon,$3.93,87
119,Anchovy Fillets,Shellie,L;urette,$1.97,11
120,Rabbit - Whole,Papageno,Tommy,$8.63,42
121,"Cheese - Manchego, Spanish",Bertie,Gloriane,$7.03,49
122,Beer - Mill St Organic,Darla,Matti,$0.63,17
123,"Beets - Candy Cane, Organic",Durant,Nanny,$8.85,34
124,Marjoram - Fresh,Elmore,Dionis,$7.65,65
125,Long Island Ice Tea,Tootsie,Jorgan,$4.12,10
126,Juice - Lagoon Mango,Forester,Gordon,$0.66,80
127,Soup - Campbells - Chicken Noodle,Walther,Mill,$9.28,72
128,Syrup - Kahlua Chocolate,Kay,Rafaela,$0.87,9
129,Compound - Rum,Hershel,Alvis,$9.20,16
130,"Tabasco Sauce, 2 Oz",Mart,Jsandye,$5.14,12
131,Waffle Stix,Esme,Ula,$9.43,21
132,Wine - Cousino Macul Antiguas,Jasmin,Quintina,$7.91,80
133,Bagel - Everything,Caye,Sheelah,$0.17,41
134,Bread - Kimel Stick Poly,Desirae,Carlie,$6.12,82
135,Lettuce - Curly Endive,Danell,Haroun,$6.47,31
136,Puree - Pear,Devondra,Bette,$7.31,81
137,Cocoa Powder - Natural,Kiah,Chrysler,$1.35,33
138,Ecolab - Hand Soap Form Antibac,Louie,Rodolph,$7.39,80
139,"Club Soda - Schweppes, 355 Ml",Diana,Rhianon,$2.71,57
140,Ice Cream Bar - Rolo Cone,Olly,Barbie,$0.42,76
141,Cake - Miini Cheesecake Cherry,Andre,Sampson,$2.70,90
142,Wine - Remy Pannier Rose,Bryana,Fan,$5.55,6
143,Lamb Rack Frenched Australian,Dominica,Sheffie,$9.46,2
144,Blue Curacao - Marie Brizard,Walsh,Moses,$4.66,1
145,"Lentils - Red, Dry",Kevan,Elset,$2.97,27
146,Noodles - Steamed Chow Mein,Wittie,Forrest,$0.70,11
147,"Vinegar - Balsamic, White",Tate,Laura,$3.10,30
148,Swiss Chard - Red,Hynda,Waldon,$2.45,43
149,Cheese - Ermite Bleu,Lindie,Johan,$1.53,16
150,Pepper - Cubanelle,Uta,Bernarr,$8.21,100
151,Chocolate Bar - Coffee Crisp,Jeremy,Quinton,$8.19,52
152,Pears - Bosc,Kincaid,Rosalinde,$4.10,43
153,Energy - Boo - Koo,Lesya,Aeriell,$7.57,41
154,Bacardi Breezer - Tropical,Betsey,Darsie,$4.64,98
155,Cake - Mini Potato Pancake,Tarah,Arlen,$8.98,12
156,Cup - Translucent 7 Oz Clear,Barclay,Justinn,$7.45,66
157,Tea - Mint,Elwood,Osgood,$1.06,22
158,Parsnip,Freida,Kara-lynn,$6.83,32
159,Extract - Lemon,Cody,Jessi,$5.00,10
160,V8 - Vegetable Cocktail,Nappy,Em,$2.73,68
161,"Nut - Peanut, Roasted",Natalina,Merlina,$8.14,83
162,"Marjoram - Dried, Rubbed",Hale,Bria,$8.67,8
163,Carbonated Water - Orange,Fiann,Maxi,$4.25,85
164,Goldschalger,Creighton,Curran,$2.33,74
165,Olive - Spread Tapenade,Zacherie,Trude,$3.18,7
166,"Flour - Bran, Red",Merrili,Kyle,$2.06,11
167,Macaroons - Homestyle Two Bit,Blake,Mira,$3.70,37
168,Soup - Campbells - Chicken Noodle,Ruth,Colver,$4.26,34
169,Rappini - Andy Boy,Raquel,Decca,$4.11,55
170,Sage - Fresh,Hyatt,Jamie,$9.26,3
171,"Wine - Red, Colio Cabernet",Jayne,Moria,$4.68,28
172,Shrimp - Black Tiger 26/30,Barron,Rollins,$2.15,56
173,Crackers - Graham,Austin,Myron,$0.50,94
174,Ecolab Digiclean Mild Fm,Oswell,Rori,$4.76,16
175,Flour - Pastry,Lorilyn,Brook,$0.95,55
176,Oil - Grapeseed Oil,Pietro,Catarina,$4.39,14
177,Cheese - St. Paulin,Gaven,Mordecai,$3.54,98
178,Cinnamon Buns Sticky,Pavlov,Leon,$4.20,15
179,Chickensplit Half,Helen-elizabeth,Kermit,$3.69,91
180,Nantucket Apple Juice,Gale,Anjanette,$2.66,37
181,Beef - Rib Eye Aaa,Madelina,Sergei,$7.62,8
182,Kippers - Smoked,Bowie,Reiko,$6.66,22
183,Wine - Cotes Du Rhone Parallele,Josi,Flor,$2.84,6
184,Beer - Mcauslan Apricot,Hillard,Kassia,$4.16,9
185,Dried Figs,Martguerita,Shelbi,$0.38,26
186,Island Oasis - Banana Daiquiri,Ashlee,Leonard,$2.93,90
187,Cactus Pads,Jeth,Teddy,$5.13,41
188,Oysters - Smoked,Winnie,Quinn,$8.18,63
189,The Pop Shoppe - Black Cherry,Phil,Annadiana,$2.86,48
190,Bread Crumbs - Panko,Kincaid,Agnes,$1.33,87
191,Cucumber - English,Enrika,Demott,$2.47,10
192,Blackberries,Glenn,Lilia,$4.09,52
193,Energy Drink Bawls,Carmela,Benton,$2.16,96
194,Pepper - Scotch Bonnet,Perice,Bette,$3.65,36
195,"Pork - Tenderloin, Fresh",Bev,Magnum,$5.64,7
196,Appetizer - Chicken Satay,Neil,Baily,$4.72,58
197,"Pasta - Bauletti, Chicken White",Reggy,Greggory,$6.73,32
198,Apple - Custard,Madonna,Hannis,$8.40,69
199,Rice - 7 Grain Blend,Stevie,Saw,$5.11,10
200,Muffin Hinge 117n,Jolyn,Vivyan,$1.40,57
201,Swordfish Loin Portions,Anabel,Nathanael,$5.70,88
202,Energy Drink Bawls,Andra,Hortense,$8.89,95
203,"Fish - Scallops, Cold Smoked",Minerva,Hewitt,$0.60,63
204,Wine - Wyndham Estate Bin 777,Lin,Janaye,$7.35,70
205,Cranberries - Dry,Garvey,Kale,$2.21,11
206,Shrimp - Black Tiger 16/20,Emery,Peggy,$2.08,61
207,Pail For Lid 1537,Adriano,Arlina,$6.14,97
208,"Water, Tap",Clementina,Yardley,$0.34,38
209,Beef Flat Iron Steak,Stephana,Leontyne,$2.40,80
210,"Beans - Black Bean, Dry",Lynnelle,Artemis,$3.19,83
211,Mackerel Whole Fresh,Meredith,Barry,$6.27,87
212,"Wine - Magnotta, White",Staffard,Innis,$3.69,93
213,Shrimp - 100 / 200 Cold Water,Alice,Ruthy,$8.40,64
214,"Beef - Outside, Round",Courtnay,Munroe,$1.82,53
215,Taro Leaves,Gweneth,Lynna,$1.98,57
216,Noodles - Steamed Chow Mein,Jillane,Olivier,$1.28,86
217,Wine - Sogrape Mateus Rose,Filmore,Nikkie,$2.41,61
218,Veal - Heart,Abe,Gian,$3.42,98
219,Bread - French Baquette,Lucienne,Martino,$0.20,79
220,Soup - Campbells Pasta Fagioli,Brady,Astrid,$2.79,50
221,Pork Loin Bine - In Frenched,Corine,Mickie,$4.83,87
222,Guava,Brucie,Flory,$8.80,9
223,Sansho Powder,Janey,Winonah,$9.91,14
224,Cups 10oz Trans,Oliviero,Levi,$8.07,58
225,Beer - Upper Canada Lager,Sari,Stephen,$0.16,3
226,Liners - Baking Cups,Marv,Lara,$6.97,69
227,Ecolab Crystal Fusion,Port,Gian,$7.94,83
228,"Pasta - Spaghetti, Dry",Brody,Opal,$2.35,96
229,Bag Stand,Tarrance,Adelle,$3.37,69
230,"Pork - Loin, Bone - In",Ernesto,Caz,$2.98,17
231,"Wine - Red, Wolf Blass, Yellow",Bambi,Dion,$6.04,44
232,Cup Translucent 9 Oz,Tristam,Nicholas,$5.85,10
233,Sausage - Meat,Rica,Gerek,$3.53,43
234,Blouse / Shirt / Sweater,Jessica,Denise,$8.28,18
235,Blouse / Shirt / Sweater,Rupert,Shara,$9.16,18
236,"Bread - Rolls, Rye",Bryna,Cahra,$3.49,21
237,Wine - Puligny Montrachet A.,Merrilee,Nita,$3.95,45
238,"Split Peas - Green, Dry",Lion,Trip,$4.54,22
239,Butter - Unsalted,Arni,Guglielma,$3.01,82
240,Tea - Orange Pekoe,Tamiko,See,$8.74,95
241,Wine - Barolo Fontanafredda,Pierette,Emmye,$7.01,49
242,Bananas,Raynell,Allie,$8.52,98
243,Bread - White Epi Baguette,Kora,Rosella,$1.06,1
244,Puree - Pear,Aland,Elizabet,$7.01,77
245,Veal - Heart,Leopold,Sadye,$5.63,45
246,Truffle Shells - Semi - Sweet,Helena,Lorin,$0.62,10
