id,produto,funcionarios,vendas,clientes,preco,estoque
1,"Soup - Campbells, Butternut",Nathalie Peatt,$928.08,Sebastiano Satteford,$706.23,869
2,"Trout - Hot Smkd, Dbl Fillet",Dante Watton,$467.94,Melisande Kinsell,$520.26,673
3,Rosemary - Dry,Clemmie Trighton,$499.81,Emmaline Sumers,$464.30,106
4,Coffee - Flavoured,Joyan Atteridge,$100.25,Kerby Kemer,$401.55,928
5,Wine - Pinot Noir Latour,Culver Winchcomb,$761.29,Jennica Harpham,$529.60,934
6,Filling - Mince Meat,Kissee Baltzar,$812.23,Evangelin McCray,$489.41,894
7,Chocolate - Mi - Amere Semi,Ginger Smith,$238.17,Iolande Collerd,$875.54,450
8,"Apple - Delicious, Golden",Herc Killingbeck,$13.51,Godard Cawtheray,$678.07,277
9,Cabbage - Nappa,Yorker MacTague,$356.07,Salomi Camilli,$285.27,93
10,Sultanas,Cordey Saddington,$346.27,Doris McKibben,$203.79,10
11,Pepper - Pablano,Harry De Haven,$167.15,Lucio Buckwell,$746.13,586
12,Duck - Whole,Teodorico Pleming,$829.01,Lurline MacCartan,$355.14,607
13,Ezy Change Mophandle,Aleen Sucre,$475.16,Lindy Titterell,$739.55,736
14,Lettuce - Boston Bib,Eulalie Lago,$911.57,Binny Barszczewski,$554.71,366
15,Sole - Fillet,Clem Le feaver,$728.17,Darnell Hatje,$683.28,699
16,Flour Pastry Super Fine,Collin Shackelton,$705.27,Arri Brolan,$769.83,951
17,Red Currants,Taddeo Bene,$305.39,Noland Fakes,$254.34,756
18,"Nut - Hazelnut, Whole",Maddalena Shemelt,$908.92,Gertruda Duffitt,$794.25,30
19,Gloves - Goldtouch Disposable,Marius Hailwood,$513.48,Tina Sybe,$698.17,597
20,Container - Hngd Cll Blk 7x7x3,Pablo Bassingden,$926.21,Mandi Duiged,$595.27,5
21,Beef - Short Loin,Elliot Ciepluch,$197.18,Calli Krzysztof,$364.22,273
22,"Crush - Orange, 355ml",Alonzo Yarwood,$500.63,Gussi Bilfoot,$194.00,858
23,Cheese - Parmesan Cubes,Zsazsa Rennox,$377.38,Yoshi Rudolph,$485.21,563
24,Madeira,Berke Stutard,$330.18,Carter Stoves,$868.46,866
25,"Lamb - Leg, Diced",Rhea Roddick,$400.40,Helaine McKellar,$594.52,256
26,Cheese Cloth,Glynis Philot,$340.84,Gunilla Cordeau,$876.21,92
